tau (fs),Oscillatory component,Cation Signal,Baseline
10540.33,-17.18,2623.68,2640.86
10560.36,-3.33,2636.93,2640.25
10580.39,16.39,2656.05,2639.66
10600.44,74.12,2713.20,2639.08
10620.45,38.51,2677.02,2638.52
10640.44,112.50,2750.47,2637.97
10660.37,150.88,2788.32,2637.44
10680.31,8.52,2645.45,2636.93
10700.35,-42.11,2594.32,2636.43
10720.38,-79.75,2556.20,2635.95
10740.40,-48.64,2586.85,2635.49
10760.40,-71.29,2563.75,2635.04
10780.36,-63.57,2571.05,2634.62
10800.22,-99.55,2534.65,2634.20
10820.22,-36.21,2597.60,2633.81
10840.20,63.54,2696.97,2633.43
10860.25,-7.17,2625.90,2633.07
10880.26,45.04,2677.77,2632.72
10900.24,25.87,2658.27,2632.40
10920.18,101.91,2734.00,2632.09
10940.19,67.91,2699.70,2631.79
10960.17,102.88,2734.40,2631.52
10980.23,88.04,2719.30,2631.26
11000.23,-11.92,2619.10,2631.02
11020.09,-128.99,2501.80,2630.79
11040.08,-99.39,2531.20,2630.59
11060.09,-80.60,2549.80,2630.40
11080.06,-133.83,2496.40,2630.23
11100.04,-154.08,2476.00,2630.08
11120.12,-128.75,2501.20,2629.95
11140.12,11.77,2641.60,2629.83
11160.11,15.47,2645.20,2629.73
11180.02,78.54,2708.20,2629.66
11200.08,51.01,2680.60,2629.59
11220.02,-24.55,2605.00,2629.55
11240.00,-8.92,2620.60,2629.52
11260.09,30.69,2660.20,2629.51
11280.11,-13.12,2616.40,2629.52
11300.06,-20.35,2609.20,2629.55
11320.06,-58.79,2570.80,2629.59
11340.04,-48.65,2581.00,2629.65
11360.03,-85.33,2544.40,2629.73
11380.07,-42.22,2587.60,2629.82
11400.09,-102.93,2527.00,2629.93
11420.09,-5.86,2624.20,2630.06
11440.06,-59.40,2570.80,2630.20
11460.04,-33.76,2596.60,2630.36
11480.05,50.67,2681.20,2630.53
11500.05,132.08,2762.80,2630.72
11520.07,134.88,2765.80,2630.92
11540.12,39.26,2670.40,2631.14
11560.14,35.42,2666.80,2631.38
11580.10,3.38,2635.00,2631.62
11600.05,-59.89,2572.00,2631.89
11620.05,-60.76,2571.40,2632.16
11640.02,-4.65,2627.80,2632.45
